94;Κοινωνιολογίας
95;Κτηνιατρικής
96;Λογιστικής & Χρηματοοικονομικής
97;Μαθηματικών
98;Μάρκετινγκ & Επικοινωνίας
99;Μεθολογίας, Ιστορίας & Θεωρίας της Επιστήμης
100;Μεσογειακών Σπουδών
101;Μηχανικών Γεωτεχνολογίας Περιβάλλοντος ΤΕ
102;Μηχανικών Επιστήμης Υλικών
103;Μηχανικών Η/Υ & Πληροφορικής
104;Μηχανικών Ηλεκτρονικών Υπολογιστικών Συστημάτων
105;Μηχανικών Μεταλλείων - Μεταλλουργών
106;Μηχανικών Μουσικής Τεχνολογίας & Ακουστικής
107;Μηχανικών Οικονομίας & Διοίκησης
108;Μηχανικών Ορυκτών Πόρων
109;Μηχανικών Παραγωγής & Διοίκησης
110;Μηχανικών Περιβάλλοντος
111;Μηχανικών Πληροφοριακών & Επικοινωνιακών Συστημάτων
112;Μηχανικών Πληροφορικής & Τηλεπικοινωνιών
113;Μηχανικών Σχεδίασης Προϊόντων & Συστημάτων
114;Τ.Ε.Ι. Μηχανικών Τεχνολογίας Πετρελαίου & Φυσικού Αερίου ΤΕ
115;Μηχανικών Τοπογραφίας & Γεωπληροφορικής ΤΕ
116;Μηχανικών Χωροταξίας
117;Μηχανικών Χωροταξίας & Ανάπτυξης
118;Μηχανολόγων & Αεροναυπηγών Μηχανικών
119;Μηχανολόγων Μηχανικών
120;Μηχανολόγων Μηχανικών (Τ.Ε.Ι.)
121;Μηχανολόγων Μηχανικών ΤΕ
122;Μοριακής Βιολογίας & Γενετικής
123;Μουσικής Επιστήμης & Τέχνης
124;Μουσικών Σπουδών
125;Ναυπηγών Μηχανολόγων Μηχανικών
126;Ναυτιλιακών Σπουδών
127;Ναυτιλίας & Επιχειρηματικών Υπηρεσιών
128;Νομικής
129;Νοσηλευτικής
130;Ξένων Γλωσσών Μετάφρασης & Διερμηνείας
131;Οδοντιατρικής
132;Οικιακής Οικονομίας & Οικολογίας
133;Οικονομικής & Περιφερειακής Ανάπτυξης
134;Οικονομικής Επιστήμης
135;Οικονομικών Επιστημών
136;Οργάνωσης & Διαχείρισης Αθλητισμού
137;Οργάνωσης & Διοίκησης Επιχειρήσεων
138;Παιδαγωγικό Δημοτικής Εκπαίδευσης
139;Παιδαγωγικό Ειδικής Αγωγής
140;Παιδαγωγικό Νηπιαγωγών
141;Παιδαγωγικό Προσχολικής Εκπαίδευσης
142;Περιβάλλοντος
143;Περιβάλλοντος Αιγαίου
144;Πλαστικών Τεχνών & Επιστημών Της Τέχνης
145;Πληροφορικής
146;Πληροφορικής & Τηλεματικής
147;Πληροφορικής & Τηλεπικοινωνιών
148;Πληροφορικής με Εφαρμογές στη Βιοϊατρική
149;Ποιμαντικής & Κοινωνικής Θεολογίας
150;Πολεοδομίας & Περιφερειακής Ανάπτυξης
151;Πολιτικής Επιστήμης
152;Πολιτικής Επιστήμης & Δημόσιας Διοίκησης
153;Πολιτικής Επιστήμης & Διεθνών Σχέσεων
154;Πολιτικής Επιστήμης & Ιστορίας
155;Πολιτικών Επιστημών
156;Πολιτικών Μηχανικών
157;Πολιτικών Μηχανικών ΤΕ και Μηχανικών Τοπογραφίας & Γεωπληροφορικής ΤΕ
158;Πολιτισμικής Τεχνολογίας & Επικοινωνίας
159;Πρόγραμμα Εκκλησιαστικής Μουσικής & Ψαλτικής
160;Πρόγραμμα Ιερατικών Σπουδών
161;Πυροσβεστών Πυροσβεστικής Ακαδημίας
162;Σ.Σ.Α.Σ. Ιατρικό
163;Σ.Σ.Α.Σ. Κτηνιατρικό
164;Σ.Σ.Α.Σ. Οδοντιατρικό
165;Σ.Σ.Α.Σ. Οικονομικό
166;Σ.Σ.Α.Σ. Στρατολογικό / Στρατιωτικών Νομικών Συμβούλων
167;Σ.Σ.Α.Σ. Φαρμακευτικό
168;Σ.Σ.Α.Σ. Ψυχολογικό
169;Σλαβικών Σπουδών
170;Στατιστικής
171;Στατιστικής & Ασφαλιστικής Επιστήμης
